location_year,region,year,date,is_case,elevation_m,uncertainty_known,v14,v15,v15-estate-quota,v15-regimi-misti,v15-caldo-se-umido,v15-caldo-sempre,v15-ottimo15,calendario-mese,calendario-giorno,v15_water,v15_thermal,v15_phenology
L0120-2022,"Abruzzo",2022,2022-09-11,1,1566,1,49.9,85.2,63.1,63.1,88.2,88.2,90.0,0.1429,0.1170,0.853,0.922,0.827
L0120-2022,"Abruzzo",2022,2022-07-03,0,1566,1,0.2,0.2,1.1,1.1,0.2,0.2,0.2,0.0714,0.0583,0.044,0.631,0.062
L0120-2022,"Abruzzo",2022,2022-07-17,0,1566,1,0.9,0.9,4.3,4.3,0.9,1.1,1.1,0.0714,0.0606,0.140,0.726,0.092
L0120-2022,"Abruzzo",2022,2022-10-12,0,1566,1,50.6,50.6,35.6,35.6,50.6,50.6,35.5,0.2857,0.2051,0.648,0.842,0.927
L0208-2023,"Sicilia",2023,2023-10-26,1,1520,0,10.8,10.8,7.8,7.8,10.8,11.0,11.2,0.2308,0.1562,0.162,0.944,0.703
L0208-2023,"Sicilia",2023,2023-06-30,0,1520,0,1.3,3.9,19.2,19.2,4.2,4.2,4.3,0.0769,0.0547,0.695,0.763,0.059
L0208-2023,"Sicilia",2023,2023-07-07,0,1520,0,0.4,0.5,3.1,3.1,0.5,0.6,0.6,0.0769,0.0737,0.117,0.681,0.067
L0208-2023,"Sicilia",2023,2023-08-09,0,1520,0,0.2,0.2,0.4,0.4,0.2,0.3,0.3,0.0769,0.0619,0.029,0.428,0.262
L0288-2024,"Marche",2024,2024-09-15,1,823,1,19.2,19.2,19.2,19.2,19.2,23.2,22.4,0.2308,0.2349,0.496,0.675,0.574
L0288-2024,"Marche",2024,2024-07-04,0,823,1,12.6,25.6,25.6,25.6,25.8,25.8,25.6,0.0000,0.0044,0.826,0.762,0.388
L0288-2024,"Marche",2024,2024-08-01,0,823,1,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.0769,0.0289,0.023,0.460,0.388
L0288-2024,"Marche",2024,2024-08-09,0,823,1,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.0769,0.0650,0.038,0.452,0.350
L0162-2023,"Sardegna",2023,2023-05-25,1,187,1,18.8,19.4,19.4,14.5,19.4,19.4,19.4,0.1538,0.1614,0.788,0.721,0.326
L0162-2023,"Sardegna",2023,2023-07-06,0,187,1,0.6,0.6,0.6,0.4,0.6,0.6,0.6,0.0769,0.0713,0.011,0.526,0.937
L0162-2023,"Sardegna",2023,2023-08-21,0,187,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,0.0851,0.000,0.463,0.659
L0162-2023,"Sardegna",2023,2023-11-30,0,187,1,0.7,2.3,2.3,5.8,2.3,2.3,2.3,0.0769,0.0012,0.584,0.628,0.051
L0185-2022,"Campania",2022,2022-09-13,1,1148,1,16.0,70.8,53.8,53.8,80.2,80.2,81.1,0.1429,0.1344,0.838,0.729,0.859
L0185-2022,"Campania",2022,2022-06-18,0,1148,1,0.5,0.5,2.6,2.6,0.5,0.5,0.5,0.0714,0.0685,0.127,0.716,0.052
L0185-2022,"Campania",2022,2022-08-17,0,1148,1,4.7,4.7,4.7,4.7,4.7,6.2,5.9,0.0714,0.0721,0.231,0.546,0.374
L0185-2022,"Campania",2022,2022-10-19,0,1148,1,77.2,78.8,56.4,56.4,78.8,78.8,65.8,0.2857,0.2233,0.913,0.970,0.827
L0111-2021,"Friuli-Venezia Giulia",2021,2021-08-16,1,965,1,32.6,30.0,27.5,27.5,35.4,35.4,35.3,0.0000,0.0047,1.059,0.626,0.358
L0111-2021,"Friuli-Venezia Giulia",2021,2021-06-15,0,965,1,4.1,4.1,9.5,9.5,4.2,4.2,4.1,0.0000,0.0178,0.822,0.956,0.052
L0111-2021,"Friuli-Venezia Giulia",2021,2021-06-24,0,965,1,0.6,0.6,3.3,3.3,0.6,0.6,0.6,0.0000,0.0182,0.154,0.658,0.055
